Name movies,date,rate,
Batman Begins,2005,8.3,"1,154,588"
Superman Returns,2006,6.1,"257,059"
The Dark Knight,2008,9,"1,987,906"
Watchmen,2009,7.6,"441,540"
Jonah Hex,2010,4.7,"50,739"
Green Lantern,2011,5.5,"247,141"
The Dark Knight Rises,2012,8.4,"1,342,824"
Man of Steel,2013,7.1,"627,650"
Batman v Superman: Dawn of Justice,2016,6.5,"552,551"
Suicide Squad,2016,6.1,"503,341"
The Lego Batman Movie,2017,7.3,"106,482"
Wonder Woman,2017,7.5,"448,320"
Justice League,2017,6.5,"295,075"
